season,team,conf,division,games,wins,true_wins,losses,ties,pf,pa,pd,win_pct,div_pct,conf_pct,MOV,SOS,SRS,OSRS,DSRS,sov,sos,div_rank,div_tie_broken_by,conf_rank,conf_tie_broken_by
2006,PIT,AFC,AFC North,16,8,8,8,0,353,315,38,0.5,0.5,0.4166666666666667,2.375,1.0422598740592797,3.4172598740592797,2.9873016840834836,0.42995818997579605,0.4140625,0.49609375,3,Division Win PCT (2),11,NA
2006,SEA,NFC,NFC West,16,9,9,7,0,335,341,-6,0.5625,0.5,0.5833333333333334,-0.375,-3.1928329648087086,-3.5678329648087086,-1.649058793316172,-1.9187741714925366,0.3819444444444444,0.453125,1,NA,4,NA
2006,SF,NFC,NFC West,16,7,7,9,0,298,412,-114,0.4375,0.5,0.4166666666666667,-7.125,-1.593874639100477,-8.718874639100477,-3.471975462233509,-5.246899176866968,0.4107142857142857,0.5,3,NA,10,SOV (2)
2006,TB,NFC,NFC South,16,4,4,12,0,211,353,-142,0.25,0,0.16666666666666666,-8.875,0.9448490416718549,-7.930150958328145,-7.179850766100369,-0.7503001922277761,0.421875,0.53515625,4,NA,15,NA
2006,TEN,AFC,AFC South,16,8,8,8,0,324,400,-76,0.5,0.6666666666666666,0.4166666666666667,-4.75,3.4668062429151547,-1.2831937570848453,1.0232359165801128,-2.306429673664958,0.484375,0.5703125,2,Division Win PCT (2),9,SOV (2)
2006,WAS,NFC,NFC East,16,5,5,11,0,307,376,-69,0.3125,0.16666666666666666,0.25,-4.3125,0.26293844840146363,-4.049561551598536,-2.0843793941915862,-1.9651821574069501,0.5125,0.51171875,4,NA,14,NA
2007,ARI,NFC,NFC West,16,8,8,8,0,404,399,5,0.5,0.5,0.4166666666666667,0.3125,-4.252708977916059,-3.94020897791606,1.912619302113661,-5.852828280029721,0.421875,0.43359375,2,NA,9,NA
2007,ATL,NFC,NFC South,16,4,4,12,0,259,414,-155,0.25,0.16666666666666666,0.25,-9.6875,-0.9168140627419998,-10.604314062741999,-5.756824670478853,-4.847489392263146,0.46875,0.515625,4,NA,15,NA
2007,BAL,AFC,AFC North,16,5,5,11,0,275,384,-109,0.3125,0.16666666666666666,0.16666666666666666,-6.8125,0.07058725724262942,-6.74191274275737,-4.983495664334175,-1.7584170784231956,0.375,0.515625,4,NA,12,NA
2007,BUF,AFC,AFC East,16,7,7,9,0,252,354,-102,0.4375,0.6666666666666666,0.5,-6.375,2.271152849090021,-4.103847150909979,-5.589107332497404,1.4852601815874253,0.2767857142857143,0.515625,2,NA,10,Head-To-Head Sweep (2)
2007,CAR,NFC,NFC South,16,7,7,9,0,267,347,-80,0.4375,0.5,0.5833333333333334,-5,-0.803272396186654,-5.803272396186654,-5.7175389562203005,-0.08573343996635341,0.4107142857142857,0.5234375,2,Conference Win PCT (2),10,Conference Win PCT (2)
2007,CHI,NFC,NFC North,16,7,7,9,0,334,348,-14,0.4375,0.3333333333333333,0.3333333333333333,-0.875,2.0973385605643884,1.2223385605643884,-0.2145844623673332,1.4369230229317216,0.5,0.54296875,4,Head-To-Head Win PCT (2),13,Division Tiebreaker
2007,CIN,AFC,AFC North,16,7,7,9,0,380,385,-5,0.4375,0.5,0.5,-0.3125,-2.0707321871123145,-2.383232187112314,1.5801452086567176,-3.9633773957690317,0.3392857142857143,0.4609375,3,NA,11,NA
2007,CLE,AFC,AFC North,16,10,10,6,0,402,382,20,0.625,0.5,0.5833333333333334,1.25,-2.3113571871436,-1.0613571871435998,2.214669018277056,-3.276026205420656,0.34375,0.4296875,2,Head-To-Head Win PCT (2),7,NA
2007,DAL,NFC,NFC East,16,13,13,3,0,455,325,130,0.8125,0.6666666666666666,0.8333333333333334,8.125,1.3465126855779488,9.471512685577949,7.814256829452439,1.6572558561255102,0.4519230769230769,0.49609375,1,NA,1,Head-To-Head Sweep (2)
2007,DEN,AFC,AFC West,16,7,7,9,0,320,409,-89,0.4375,0.5,0.5,-5.5625,1.6139502310609006,-3.9485497689390994,-0.17939284403591005,-3.7691569249031893,0.41964285714285715,0.515625,2,NA,9,SOV (3)
2007,DET,NFC,NFC North,16,7,7,9,0,346,444,-98,0.4375,0.5,0.3333333333333333,-6.125,2.5723385605120006,-3.5526614394879994,1.4127964898904122,-4.965457929378411,0.4107142857142857,0.54296875,3,Head-To-Head Win PCT (2),12,Division Tiebreaker
2007,GB,NFC,NFC North,16,13,13,3,0,435,291,144,0.8125,0.6666666666666666,0.75,9,1.1633877872430087e-4,9.000116338778724,5.669840140829099,3.330276197949625,0.44711538461538464,0.46875,1,NA,2,NA
2007,HOU,AFC,AFC South,16,8,8,8,0,379,384,-5,0.5,0.16666666666666666,0.4166666666666667,-0.3125,0.3342175683387728,0.021717568338772794,2.5438998739724195,-2.5221823056336468,0.390625,0.515625,4,NA,8,NA
2007,IND,AFC,AFC South,16,13,13,3,0,450,262,188,0.8125,0.8333333333333334,0.75,11.75,0.2578286795080908,12.00782867950809,6.613592334361427,5.3942363451466635,0.4567307692307692,0.515625,1,NA,2,NA
2007,JAX,AFC,AFC South,16,11,11,5,0,411,304,107,0.6875,0.3333333333333333,0.6666666666666666,6.6875,0.14185645720292445,6.829356457202924,4.8063502706520564,2.0230061865508677,0.4602272727272727,0.515625,2,NA,5,NA
2007,KC,AFC,AFC West,16,4,4,12,0,226,335,-109,0.25,0.3333333333333333,0.25,-6.8125,1.3538807866099087,-5.458619213390091,-7.352954351730128,1.894335138340037,0.46875,0.515625,3,Common Games Win PCT (2),14,Division Tiebreaker
2007,LA,NFC,NFC West,16,3,3,13,0,263,438,-175,0.1875,0.16666666666666666,0.25,-10.9375,-2.0277089784050046,-12.965208978405006,-6.464464031364706,-6.5007449470403,0.3333333333333333,0.51171875,4,NA,16,NA
2007,LAC,AFC,AFC West,16,11,11,5,0,412,284,128,0.6875,0.8333333333333334,0.75,8,0.7854780089216259,8.785478008921626,4.334198426022669,4.451279582898956,0.4318181818181818,0.5,1,NA,3,NA
2007,LV,AFC,AFC West,16,4,4,12,0,283,398,-115,0.25,0.3333333333333333,0.3333333333333333,-7.1875,1.2090891199745288,-5.978410880025471,-3.4815257803980835,-2.496885099627388,0.34375,0.515625,4,Common Games Win PCT (2),15,Division Tiebreaker
2007,MIA,AFC,AFC East,16,1,1,15,0,267,437,-170,0.0625,0,0.08333333333333333,-10.625,2.252402849065283,-8.372597150934716,-4.141637094547927,-4.230960056386789,0.3125,0.5390625,4,NA,16,NA
2007,MIN,NFC,NFC North,16,8,8,8,0,365,311,54,0.5,0.5,0.5,3.375,0.4157413386674023,3.7907413386674023,1.3936496646114598,2.3970916740559423,0.4296875,0.50390625,2,NA,7,Conference Win PCT (3)
2007,NE,AFC,AFC East,16,16,16,0,0,589,274,315,1,1,1,19.6875,0.3704584045626387,20.05795840456264,15.858610921253543,4.199347483309097,0.46875,0.46875,1,NA,1,NA
2007,NO,NFC,NFC South,16,7,7,9,0,379,388,-9,0.4375,0.5,0.5,-0.5625,-1.9629946179723212,-2.525494617972321,1.9258142184046994,-4.45130883637702,0.4375,0.48046875,3,Conference Win PCT (2),11,Conference Win PCT (2)
2007,NYG,NFC,NFC East,16,10,10,6,0,373,351,22,0.625,0.5,0.5833333333333334,1.375,1.8871376854666266,3.2621376854666266,2.823780638949085,0.4383570465175417,0.375,0.515625,2,NA,5,NA
2007,NYJ,AFC,AFC East,16,4,4,12,0,268,355,-87,0.25,0.3333333333333333,0.3333333333333333,-5.4375,1.743027849096571,-3.694472150903429,-3.9904466184539777,0.2959744675505487,0.25,0.5234375,3,NA,13,Head-To-Head Sweep (2)
2007,PHI,NFC,NFC East,16,8,8,8,0,336,300,36,0.5,0.3333333333333333,0.4166666666666667,2.25,2.99929046291917,5.24929046291917,0.13618143260521498,5.113109030313955,0.4375,0.5625,4,NA,8,Common Games Win PCT (2)
2007,PIT,AFC,AFC North,16,10,10,6,0,393,269,124,0.625,0.8333333333333334,0.5833333333333334,7.75,-2.542607187118861,5.207392812881139,0.910055923184723,4.297336889696416,0.40625,0.453125,1,Head-To-Head Win PCT (2),4,NA
