game_id,season,week,gameday,home_team,away_team,home_score,away_score,location,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2006_03_ATL_NO,2006,3,2006-09-25,NO,ATL,23,3,Home,1535.2869312803725,1547.1027748969243,1566.5989881445464,1515.7907180327504
2006_04_ARI_ATL,2006,4,2006-10-01,ATL,ARI,32,10,Home,1515.7907180327504,1484.6727986311819,1543.9466022552253,1456.516914408707
2006_04_CLE_OAK,2006,4,2006-10-01,LV,CLE,21,24,Home,1442.0119344970497,1452.5830084933966,1428.6349316028093,1465.960011387637
2006_04_DAL_TEN,2006,4,2006-10-01,TEN,DAL,14,45,Home,1436.3434579011905,1508.5932749215624,1409.66710760862,1535.269625214133
2006_04_DET_STL,2006,4,2006-10-01,LA,DET,41,34,Home,1509.932603084902,1436.673520145279,1525.8753384103893,1420.7307848197918
2006_04_IND_NYJ,2006,4,2006-10-01,NYJ,IND,28,31,Home,1522.1357594059123,1564.31568993688,1510.1768907106314,1576.274558632161
2006_04_JAX_WAS,2006,4,2006-10-01,WAS,JAX,36,30,Home,1484.1973367193812,1523.2238540098035,1505.4559668139823,1501.9652239152024
2006_04_MIA_HOU,2006,4,2006-10-01,HOU,MIA,17,15,Home,1419.8956956232178,1466.035386941806,1432.076797469852,1453.854285095172
2006_04_MIN_BUF,2006,4,2006-10-01,BUF,MIN,17,12,Home,1489.2646540575943,1513.6153867171247,1508.2261125882878,1494.6539281864311
2006_04_NE_CIN,2006,4,2006-10-01,CIN,NE,13,38,Home,1569.575335917915,1505.990005481077,1532.178181052609,1543.387160346383
2006_04_NO_CAR,2006,4,2006-10-01,CAR,NO,21,18,Home,1471.3742382493758,1566.5989881445464,1488.2154039150723,1549.75782247885
2006_04_SD_BAL,2006,4,2006-10-01,BAL,LAC,16,13,Home,1562.7482081354738,1562.4212018686742,1576.5960456205858,1548.5733643835622
2006_04_SEA_CHI,2006,4,2006-10-01,CHI,SEA,37,6,Home,1573.4762313170531,1561.798339881176,1606.7922909324784,1528.4822802657507
2006_04_SF_KC,2006,4,2006-10-01,KC,SF,41,0,Home,1459.9502004552833,1475.3324075679814,1498.7096129192878,1436.5729951039768
2006_04_GB_PHI,2006,4,2006-10-02,PHI,GB,31,9,Home,1532.324710683554,1470.878741149449,1557.4886251968603,1445.7148266361428
2006_05_BUF_CHI,2006,5,2006-10-08,CHI,BUF,40,7,Home,1606.7922909324784,1508.2261125882878,1631.217449522513,1483.8009539982531
2006_05_CLE_CAR,2006,5,2006-10-08,CAR,CLE,20,12,Home,1488.2154039150723,1465.960011387637,1508.5761426578429,1445.5992726448665
2006_05_DAL_PHI,2006,5,2006-10-08,PHI,DAL,38,24,Home,1557.4886251968603,1535.269625214133,1582.5861738346662,1510.172076576327
2006_05_DET_MIN,2006,5,2006-10-08,MIN,DET,26,17,Home,1494.6539281864311,1420.7307848197918,1512.2615884368138,1403.1231245694091
2006_05_KC_ARI,2006,5,2006-10-08,ARI,KC,20,23,Home,1456.516914408707,1498.7096129192878,1444.55860637979,1510.6679209482047
2006_05_MIA_NE,2006,5,2006-10-08,NE,MIA,20,10,Home,1543.387160346383,1453.854285095172,1560.6187983136558,1436.6226471278992
2006_05_NYJ_JAX,2006,5,2006-10-08,JAX,NYJ,41,0,Home,1501.9652239152024,1510.1768907106314,1540.0828796904564,1472.0592349353774
2006_05_OAK_SF,2006,5,2006-10-08,SF,LV,34,20,Home,1436.5729951039768,1428.6349316028093,1462.9397439411528,1402.2681827656334
2006_05_PIT_SD,2006,5,2006-10-08,LAC,PIT,23,13,Home,1548.5733643835622,1483.1518559171313,1567.526140720985,1464.1990795797085
2006_05_STL_GB,2006,5,2006-10-08,GB,LA,20,23,Home,1445.7148266361428,1525.8753384103893,1435.3716479616792,1536.218517084853
2006_05_TB_NO,2006,5,2006-10-08,NO,TB,24,21,Home,1549.75782247885,1436.1877258349498,1558.7783556659576,1427.167192647842
2006_05_TEN_IND,2006,5,2006-10-08,IND,TEN,14,13,Home,1576.274558632161,1409.66710760862,1579.8450897530424,1406.0965764877385
2006_05_WAS_NYG,2006,5,2006-10-08,NYG,WAS,19,3,Home,1480.9372368545075,1505.4559668139823,1510.931193781371,1475.462009887119
2006_05_BAL_DEN,2006,5,2006-10-09,DEN,BAL,13,3,Home,1517.9694934228198,1576.5960456205858,1545.2302460916646,1549.335292951741
