game_id,season,week,team,home_team,away_team,off_total_plays,off_total_epa_sum,off_total_epa_mean,off_pass_plays,off_pass_epa_sum,off_pass_epa_mean,off_rush_plays,off_rush_epa_sum,off_rush_epa_mean,off_penalty_plays,off_penalty_epa_sum,off_penalty_epa_mean,off_kick_plays,off_kick_epa_sum,off_kick_epa_mean,off_special_plays,off_special_epa_sum,off_special_epa_mean,def_total_plays,def_total_epa_sum,def_total_epa_mean,def_pass_plays,def_pass_epa_sum,def_pass_epa_mean,def_rush_plays,def_rush_epa_sum,def_rush_epa_mean,def_penalty_plays,def_penalty_epa_sum,def_penalty_epa_mean,def_kick_plays,def_kick_epa_sum,def_kick_epa_mean,def_special_plays,def_special_epa_sum,def_special_epa_mean
2002_01_ARI_WAS,2002,1,ARI,WAS,ARI,62,-1.316157562599983,-0.021228347783870696,39,1.6875477288933483,0.04327045458700893,18,-0.5490239017526619,-0.030501327875147883,1,-0.8973834015196189,-0.8973834015196189,4,-1.5572979882210505,-0.3893244970552626,13,6.784790059100751,0.5219069276231347,77,8.896867218369152,0.11554373010869029,40,8.109283644264474,0.20273209110661186,29,5.731583294691518,0.19764080326522476,7,-5.729940049117431,-0.818562864159633,1,0.7859403285305908,0.7859403285305908,14,2.4956447254813425,0.1782603375343816
2002_01_ARI_WAS,2002,1,WAS,WAS,ARI,77,8.896867218369152,0.11554373010869029,40,8.109283644264474,0.20273209110661186,29,5.731583294691518,0.19764080326522476,7,-5.729940049117431,-0.818562864159633,1,0.7859403285305908,0.7859403285305908,14,2.4956447254813425,0.1782603375343816,62,-1.316157562599983,-0.021228347783870696,39,1.6875477288933483,0.04327045458700893,18,-0.5490239017526619,-0.030501327875147883,1,-0.8973834015196189,-0.8973834015196189,4,-1.5572979882210505,-0.3893244970552626,13,6.784790059100751,0.5219069276231347
2002_01_ATL_GB,2002,1,ATL,GB,ATL,62,18.247682448127307,0.294317458840763,33,9.282821567865753,0.2812976232686592,24,8.910526672087144,0.37127194467029767,3,-1.500067074492108,-0.5000223581640361,2,1.5544012826665177,0.7772006413332588,13,3.807494951907374,0.292884227069798,83,19.664268091786653,0.23691889267212835,39,13.123607107482112,0.33650274634569516,36,2.3498289527166216,0.0652730264643506,4,5.519728396087885,1.3799320990219712,4,-1.3288963644999643,-0.33222409112499107,14,0.9107810245773904,0.0650557874698136
2002_01_ATL_GB,2002,1,GB,GB,ATL,83,19.664268091786653,0.23691889267212835,39,13.123607107482112,0.33650274634569516,36,2.3498289527166216,0.0652730264643506,4,5.519728396087885,1.3799320990219712,4,-1.3288963644999643,-0.33222409112499107,14,0.9107810245773904,0.0650557874698136,62,18.247682448127307,0.294317458840763,33,9.282821567865753,0.2812976232686592,24,8.910526672087144,0.37127194467029767,3,-1.500067074492108,-0.5000223581640361,2,1.5544012826665177,0.7772006413332588,13,3.807494951907374,0.292884227069798
2002_01_BAL_CAR,2002,1,BAL,CAR,BAL,59,-8.006589868222363,-0.13570491302071802,36,-0.9936763787994973,-0.02760212163331937,18,-0.2854786057723686,-0.01585992254290937,4,-3.288083343184553,-0.8220208357961383,1,-3.4393515404659443,-3.4393515404659443,11,-1.4193734796643684,-0.12903395269676077,64,-7.022159703075886,-0.10972124536056072,21,0.8890138937276788,0.042333994939413276,34,-3.798618817454526,-0.1117240828663096,7,-1.9130498597514816,-0.2732928371073545,2,-2.199504919597557,-1.0997524597987784,10,2.906454513671765,0.2906454513671765
2002_01_BAL_CAR,2002,1,CAR,CAR,BAL,64,-7.022159703075886,-0.10972124536056072,21,0.8890138937276788,0.042333994939413276,34,-3.798618817454526,-0.1117240828663096,7,-1.9130498597514816,-0.2732928371073545,2,-2.199504919597557,-1.0997524597987784,10,2.906454513671765,0.2906454513671765,59,-8.006589868222363,-0.13570491302071802,36,-0.9936763787994973,-0.02760212163331937,18,-0.2854786057723686,-0.01585992254290937,4,-3.288083343184553,-0.8220208357961383,1,-3.4393515404659443,-3.4393515404659443,11,-1.4193734796643684,-0.12903395269676077
2002_01_DAL_HOU,2002,1,DAL,HOU,DAL,63,-15.608133301488124,-0.24774814764266864,33,-14.021786102600126,-0.4249026091697008,23,1.8722387388115749,0.08140168429615544,5,-0.2694740126025863,-0.05389480252051726,2,-3.189111925096986,-1.594555962548493,14,-8.35567696324357,-0.5968340688031121,74,-16.488961654598825,-0.22282380614322736,28,-8.985287832973638,-0.32090313689191563,33,-13.821588840335608,-0.4188360254647154,12,5.224132251518313,0.43534435429319274,1,1.0937827671921074,1.0937827671921074,16,1.5438345308314445,0.09648965817696528
2002_01_DAL_HOU,2002,1,HOU,HOU,DAL,74,-16.488961654598825,-0.22282380614322736,28,-8.985287832973638,-0.32090313689191563,33,-13.821588840335608,-0.4188360254647154,12,5.224132251518313,0.43534435429319274,1,1.0937827671921074,1.0937827671921074,16,1.5438345308314445,0.09648965817696528,63,-15.608133301488124,-0.24774814764266864,33,-14.021786102600126,-0.4249026091697008,23,1.8722387388115749,0.08140168429615544,5,-0.2694740126025863,-0.05389480252051726,2,-3.189111925096986,-1.594555962548493,14,-8.35567696324357,-0.5968340688031121
2002_01_DET_MIA,2002,1,DET,MIA,DET,62,-2.43309948744718,-0.03924354012011581,40,-3.425836580747273,-0.08564591451868182,18,-0.1391287706210278,-0.007729376145612655,4,1.1318658639211208,0.2829664659802802,0,0,0,17,4.33192821117012,0.2548193065394188,68,24.753641049202997,0.36402413307651466,29,18.570867096772417,0.640374727474911,37,3.773005125869531,0.10197311150998734,2,2.4097688265610486,1.2048844132805243,0,0,0,16,6.390147219231053,0.3993842012019408
2002_01_DET_MIA,2002,1,MIA,MIA,DET,68,24.753641049202997,0.36402413307651466,29,18.570867096772417,0.640374727474911,37,3.773005125869531,0.10197311150998734,2,2.4097688265610486,1.2048844132805243,0,0,0,16,6.390147219231053,0.3993842012019408,62,-2.43309948744718,-0.03924354012011581,40,-3.425836580747273,-0.08564591451868182,18,-0.1391287706210278,-0.007729376145612655,4,1.1318658639211208,0.2829664659802802,0,0,0,17,4.33192821117012,0.2548193065394188
2002_01_IND_JAX,2002,1,IND,JAX,IND,62,2.5263405871519353,0.04074742882503121,33,5.881906366719177,0.1782395868702781,27,0.21792094336706214,0.00807114605063193,1,-0.3473305689403787,-0.3473305689403787,1,-3.226156153993925,-3.226156153993925,12,7.565296516783365,0.6304413763986136,75,-41.11847056103568,-0.5482462741471423,40,-23.551447286892248,-0.5887861821723062,28,-12.668155304621905,-0.4524341180222109,5,-3.61087551608216,-0.7221751032164321,2,-1.2879924534393627,-0.6439962267196814,10,3.313893346538216,0.3313893346538216
2002_01_IND_JAX,2002,1,JAX,JAX,IND,75,-41.11847056103568,-0.5482462741471423,40,-23.551447286892248,-0.5887861821723062,28,-12.668155304621905,-0.4524341180222109,5,-3.61087551608216,-0.7221751032164321,2,-1.2879924534393627,-0.6439962267196814,10,3.313893346538216,0.3313893346538216,62,2.5263405871519353,0.04074742882503121,33,5.881906366719177,0.1782395868702781,27,0.21792094336706214,0.00807114605063193,1,-0.3473305689403787,-0.3473305689403787,1,-3.226156153993925,-3.226156153993925,12,7.565296516783365,0.6304413763986136
2002_01_KC_CLE,2002,1,CLE,CLE,KC,70,16.239146985157394,0.23198781407367705,41,13.000436825087522,0.3170838250021347,20,-3.3053844301343545,-0.16526922150671772,4,4.4950083455769345,1.1237520863942336,4,2.032640823013537,0.5081602057533843,12,1.446665584946854,0.12055546541223784,67,22.034611652416178,0.328874800782331,31,12.545359586129273,0.4046890189073959,27,7.294608929994982,0.2701707011109252,7,1.3941419926580378,0.19916314180829112,2,0.8005011436338854,0.4002505718169427,17,0.8213235875887945,0.04831315221110556
