game_id,season,week,team,opponent,turnover_diff,turnover_won,turnover_lost,interception_won,interception_lost,fumble_won,fumble_lost
2006_03_CAR_TB,2006,3,CAR,TB,-3,0,3,0,0,0,3
2006_03_BAL_CLE,2006,3,CLE,BAL,0,2,2,2,1,0,1
2006_03_BAL_CLE,2006,3,BAL,CLE,0,0,0,0,0,0,0
2006_03_STL_ARI,2006,3,ARI,LA,-3,1,4,1,3,0,1
2006_03_STL_ARI,2006,3,LA,ARI,-1,1,2,1,0,0,2
2006_03_NYG_SEA,2006,3,SEA,NYG,-3,0,3,0,3,0,0
2006_03_NYG_SEA,2006,3,NYG,SEA,0,4,4,2,3,2,1
2006_03_PHI_SF,2006,3,SF,PHI,-2,0,2,0,0,0,2
2006_03_PHI_SF,2006,3,PHI,SF,0,1,1,1,0,0,1
2006_03_DEN_NE,2006,3,NE,DEN,1,1,0,0,0,1,0
2006_03_DEN_NE,2006,3,DEN,NE,1,1,0,1,0,0,0
2006_03_ATL_NO,2006,3,NO,ATL,0,0,0,0,0,0,0
2006_03_ATL_NO,2006,3,ATL,NO,2,2,0,1,0,1,0
2006_04_ARI_ATL,2006,4,ATL,ARI,-1,0,1,0,1,0,0
2006_04_ARI_ATL,2006,4,ARI,ATL,-2,2,4,1,2,1,2
2006_04_SD_BAL,2006,4,BAL,LAC,-1,2,3,0,2,2,1
2006_04_SD_BAL,2006,4,LAC,BAL,-1,0,1,0,1,0,0
2006_04_MIN_BUF,2006,4,BUF,MIN,2,2,0,1,0,1,0
2006_04_MIN_BUF,2006,4,MIN,BUF,-1,1,2,0,2,1,0
2006_04_NO_CAR,2006,4,CAR,NO,0,0,0,0,0,0,0
2006_04_NO_CAR,2006,4,NO,CAR,1,2,1,2,0,0,1
2006_04_MIA_HOU,2006,4,HOU,MIA,-2,0,2,0,1,0,1
2006_04_MIA_HOU,2006,4,MIA,HOU,2,2,0,2,0,0,0
2006_04_SF_KC,2006,4,KC,SF,1,1,0,0,0,1,0
2006_04_SF_KC,2006,4,SF,KC,-1,3,4,2,2,1,2
2006_04_IND_NYJ,2006,4,NYJ,IND,-1,2,3,1,1,1,2
2006_04_IND_NYJ,2006,4,IND,NYJ,0,0,0,0,0,0,0
2006_04_DAL_TEN,2006,4,TEN,DAL,-2,1,3,1,2,0,1
2006_04_DAL_TEN,2006,4,DAL,TEN,1,2,1,1,1,1,0
2006_04_DET_STL,2006,4,LA,DET,2,2,0,1,0,1,0
2006_04_DET_STL,2006,4,DET,LA,2,5,3,2,2,3,1
2006_04_NE_CIN,2006,4,CIN,NE,-2,0,2,0,0,0,2
2006_04_NE_CIN,2006,4,NE,CIN,1,2,1,0,1,2,0
2006_04_CLE_OAK,2006,4,LV,CLE,-1,0,1,0,1,0,0
2006_04_CLE_OAK,2006,4,CLE,LV,-2,1,3,1,2,0,1
2006_04_JAX_WAS,2006,4,WAS,JAX,0,3,3,1,1,2,2
2006_04_JAX_WAS,2006,4,JAX,WAS,0,1,1,1,1,0,0
2006_04_SEA_CHI,2006,4,CHI,SEA,1,1,0,1,0,0,0
2006_04_SEA_CHI,2006,4,SEA,CHI,-2,0,2,0,2,0,0
2006_04_GB_PHI,2006,4,PHI,GB,-1,1,2,1,0,0,2
2006_04_GB_PHI,2006,4,GB,PHI,0,3,3,2,2,1,1
2006_05_CLE_CAR,2006,5,CAR,CLE,2,2,0,1,0,1,0
2006_05_CLE_CAR,2006,5,CLE,CAR,-1,2,3,1,2,1,1
2006_05_BUF_CHI,2006,5,CHI,BUF,0,1,1,1,0,0,1
2006_05_BUF_CHI,2006,5,BUF,CHI,-5,0,5,0,3,0,2
