game_id,season,week,team,passing_tds,rushing_tds,td_special,def_tds,fumble_recovery_tds,passing_2pt_conversions,rushing_2pt_conversions,pat_att,pat_made,fg_att,fg_made,safeties_def,td_off,td_def,td_total,two_pt_att,two_pt_made,two_pt_def,points8,points7,points6,points3,points2,points_total
2006_02_BUF_MIA,2006,2,MIA,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,6
2006_02_BUF_MIA,2006,2,BUF,1,0,0,0,0,0,0,1,1,3,3,0,1,0,1,0,0,0,0,1,0,3,0,16
2006_02_CAR_MIN,2006,2,MIN,1,0,0,0,0,0,0,1,1,4,3,0,1,0,1,0,0,0,0,1,0,3,0,16
2006_02_CAR_MIN,2006,2,CAR,0,1,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_02_NYG_PHI,2006,2,PHI,2,1,0,0,0,0,0,3,3,2,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_02_NYG_PHI,2006,2,NYG,3,0,0,0,1,0,0,3,3,1,1,0,3,1,4,0,0,0,0,3,1,1,0,30
2006_02_ARI_SEA,2006,2,SEA,1,2,0,0,0,0,0,3,3,1,0,0,3,0,3,0,0,0,0,3,0,0,0,21
2006_02_ARI_SEA,2006,2,ARI,1,0,0,0,0,0,0,1,1,3,1,0,1,0,1,0,0,0,0,1,0,1,0,10
2006_02_STL_SF,2006,2,SF,1,1,0,0,0,0,0,2,2,3,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_02_STL_SF,2006,2,LA,1,0,0,0,0,0,0,1,1,3,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_02_KC_DEN,2006,2,DEN,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,9
2006_02_KC_DEN,2006,2,KC,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_02_NE_NYJ,2006,2,NYJ,2,0,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_02_NE_NYJ,2006,2,NE,1,2,0,0,0,0,0,3,3,2,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_02_TEN_SD,2006,2,LAC,1,3,0,0,0,0,0,4,4,4,4,0,4,0,4,0,0,0,0,4,0,4,0,40
2006_02_TEN_SD,2006,2,TEN,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7
2006_02_WAS_DAL,2006,2,DAL,2,1,0,0,0,0,0,3,3,2,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_02_WAS_DAL,2006,2,WAS,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,10
2006_02_PIT_JAX,2006,2,JAX,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,9
2006_02_PIT_JAX,2006,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006_03_NYJ_BUF,2006,3,BUF,1,1,0,0,0,0,0,2,2,2,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_03_NYJ_BUF,2006,3,NYJ,1,2,0,0,1,0,0,4,4,0,0,0,3,1,4,0,0,0,0,4,0,0,0,28
2006_03_GB_DET,2006,3,DET,2,1,0,0,0,0,0,3,3,1,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_03_GB_DET,2006,3,GB,3,0,0,1,0,0,0,4,4,1,1,0,3,1,4,0,0,0,0,4,0,1,0,31
2006_03_WAS_HOU,2006,3,HOU,2,0,0,0,0,0,1,1,1,0,0,0,2,0,2,1,1,0,1,1,0,0,0,15
2006_03_WAS_HOU,2006,3,WAS,1,3,0,0,0,0,0,4,4,1,1,0,4,0,4,0,0,0,0,4,0,1,0,31
2006_03_JAX_IND,2006,3,IND,1,1,1,0,0,0,0,3,3,0,0,0,2,0,3,0,0,0,0,3,0,0,0,21
2006_03_JAX_IND,2006,3,JAX,1,1,0,0,0,0,0,2,2,2,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_03_TEN_MIA,2006,3,MIA,0,1,0,0,0,0,0,1,1,3,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_03_TEN_MIA,2006,3,TEN,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,1,0,1,0,10
2006_03_CHI_MIN,2006,3,MIN,0,0,0,1,0,0,0,1,1,3,3,0,0,1,1,0,0,0,0,1,0,3,0,16
2006_03_CHI_MIN,2006,3,CHI,1,0,0,0,0,0,0,1,1,4,4,0,1,0,1,0,0,0,0,1,0,4,0,19
2006_03_CIN_PIT,2006,3,PIT,0,2,0,0,0,0,0,2,2,3,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_03_CIN_PIT,2006,3,CIN,4,0,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,4,0,0,0,28
2006_03_CAR_TB,2006,3,TB,1,2,0,0,0,0,0,3,3,1,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_03_CAR_TB,2006,3,CAR,1,1,0,0,0,0,0,2,2,4,4,0,2,0,2,0,0,0,0,2,0,4,0,26
2006_03_BAL_CLE,2006,3,CLE,1,1,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_03_BAL_CLE,2006,3,BAL,1,0,0,0,0,0,0,0,0,3,3,0,1,0,1,1,0,0,0,0,1,3,0,15
2006_03_STL_ARI,2006,3,ARI,1,1,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_03_STL_ARI,2006,3,LA,1,0,0,0,0,0,0,1,1,3,3,0,1,0,1,0,0,0,0,1,0,3,0,16
2006_03_NYG_SEA,2006,3,SEA,5,1,0,0,0,0,0,6,6,0,0,0,6,0,6,0,0,0,0,6,0,0,0,42
2006_03_NYG_SEA,2006,3,NYG,3,0,0,1,0,0,0,3,3,1,1,0,3,1,4,1,0,0,0,3,1,1,0,30
